NTAName,GeoID,Borough,Pop,PopZ,PopY,PopX,PopBB,Hsp_E,Hsp_P,Wt_E,Wt_P,Bl_E,Bl_P,Asn_E,Asn_P,Rc2pl_E,Rc2pl_P,Oths_E,Oths_P,MdHHIncE,MnHHIncE
Calvary & Mount Zion Cemeteries,QN0271,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Mount Olivet & All Faiths Cemeteries,QN0571,Queens,14,0.0,0.0,14.0,0.0,0,,14,100.0,0,,0,,0,,0.0,0.0,87498.0,
Middle Village Cemetery,QN0572,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
St. John Cemetery,QN0573,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Highland Park-Cypress Hills Cemeteries (North),QN0574,Queens,18,3.0,0.0,8.0,7.0,0,,11,61.1,0,,7,38.9,0,,0.0,0.0,156249.0,
Mount Hebron & Cedar Grove Cemeteries,QN0871,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Montefiore Cemetery,QN1371,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
LaGuardia Airport,QN8081,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
John F. Kennedy International Airport,QN8381,Queens,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Lincoln Terrace Park,BK0891,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Dyker Beach Park,BK1091,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Calvert Vaux Park,BK1391,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Marine Park-Plumb Island,BK1891,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
McGuire Fields,BK1892,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Canarsie Park & Pier,BK1893,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Prospect Park,BK5591,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Barren Island-Floyd Bennett Field,BK5691,Brooklyn,14,0.0,0.0,14.0,0.0,5,35.7,9,64.3,0,,0,,0,,0.0,0.0,137498.0,
Jamaica Bay (West),BK5692,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Shirley Chisholm State Park,BK5693,Brooklyn,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
North & South Brother Islands,BX0291,Bronx,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Crotona Park,BX0391,Bronx,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Yankee Stadium-Macombs Dam Park,BX0491,Bronx,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Claremont Park,BX0492,Bronx,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
Soundview Park,BX0991,Bronx,0,0.0,0.0,0.0,0.0,0,,0,,0,,0,,0,,0.0,0.0,,
