County,License Number,Establishment Type,Entity Name,DBA Name,City,Zip Code,Georeference,Address,Normalized DBA Name,Is Chain Store,Is Grocery Store,Google Maps Link,Latitude,Longitude,Neighborhood
BRONX,739600,AC,1088 GOURMET DELI CORP,1088 GOURMET DELI,BRONX,10456,POINT (-73.908400617 40.828324212),1088 WASHINGTON AVE,1088 gourmet deli,No,Yes,https://www.google.com/maps/search/?api=1&query=1088+GOURMET+DELI+1088+WASHINGTON+AVE+BRONX+,40.82832421,-73.90840062,Morrisania
QUEENS,707882,AC,108 STREET GROCERY CORP,108TH STREET GROCERY,CORONA,11368,POINT (-73.853317431 40.739617022),57-18 108TH STREET,108th street grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=108TH+STREET+GROCERY+57-18+108TH+STREET+CORONA+,40.73961702,-73.85331743,Corona
QUEENS,713233,AC,109 DAY & NIGHT GROCERY CORP,109 DAY & NIGHT GROCERY,RICHMOND HILL,11418,POINT (-73.838859235 40.695698825),108-20 JAMAICA AVE,109 day night grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=109+DAY+&+NIGHT+GROCERY+108-20+JAMAICA+AVE+RICHMOND+HILL+,40.69569883,-73.83885924,Richmond Hill 
QUEENS,746580,AC,109 DELI & GRILL CORP,109 DELI & GRILL,JAMAICA,11433,POINT (-73.790124922 40.694807661),109-02 GUY R BREWER BLVD,109 deli grill,No,Yes,https://www.google.com/maps/search/?api=1&query=109+DELI+&+GRILL+109-02+GUY+R+BREWER+BLVD+JAMAICA+,40.69480766,-73.79012492,South Jamaica (JAMAICA)
NEW YORK,620528,AC,ORANGE & WHITE MARKETS INC,MORTON WILLIAMS SUPRMKT,NEW YORK,10028,POINT (-73.951759783 40.773934001),1565 1ST AVE,morton williams suprmkt,No,Yes,https://www.google.com/maps/search/?api=1&query=MORTON+WILLIAMS+SUPRMKT+1565+1ST+AVE+NEW+YORK+,40.773934,-73.95175978,Upper East Side
QUEENS,760415,AC,109 STOP 1 DELI INC,109 STOP 1 DELI,JAMAICA,11433,POINT (-73.784163293 40.696859551),109-14 MERRICK BLVD,109 stop 1 deli,No,Yes,https://www.google.com/maps/search/?api=1&query=109+STOP+1+DELI+109-14+MERRICK+BLVD+JAMAICA+,40.69685955,-73.78416329,South Jamaica (JAMAICA)
QUEENS,717916,AC,126 FOOD CORP,126 FOOD,RICHMOND HILL,11418,POINT (-73.824537077 40.701130885),126-04 JAMAICA AVENUE,126 food,No,Yes,https://www.google.com/maps/search/?api=1&query=126+FOOD+126-04+JAMAICA+AVENUE+RICHMOND+HILL+,40.70113089,-73.82453708,Richmond Hill 
KINGS,610591,AC,EISHEH AYMAN M,10TH AVE DELI GRCY XPRS,BROOKLYN,11218,POINT (-73.979858269 40.656935666),561 17TH ST,10th ave deli grcy xprs,No,Yes,https://www.google.com/maps/search/?api=1&query=10TH+AVE+DELI+GRCY+XPRS+561+17TH+ST+BROOKLYN+,40.65693567,-73.97985827,Windsor Terrace
KINGS,710890,AC,11-7 DELI GROUP INC,11-7 DELI GROUP,BROOKLYN,11237,POINT (-73.91896173 40.704475977),1632 DEKALB AVENUE,117 deli group,No,Yes,https://www.google.com/maps/search/?api=1&query=11-7+DELI+GROUP+1632+DEKALB+AVENUE+BROOKLYN+,40.70447598,-73.91896173,Bushwick
QUEENS,727219,AC,110 SUTPHIN DELI GROCERY CORP,110 SUTPHIN DELI GROCERY,JAMAICA,11435,POINT (-73.796709913 40.689716828),110-10 SUTPHIN BLVD,110 sutphin deli grocery,No,Yes,https://www.google.com/maps/search/?api=1&query=110+SUTPHIN+DELI+GROCERY+110-10+SUTPHIN+BLVD+JAMAICA+,40.68971683,-73.79670991,South Jamaica (JAMAICA)
