County,License Number,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,City,Zip Code,Square Footage,Georeference,Full Address,Normalized DBA Name,Is Chain Store,Is Grocery Store
KINGS,619700,AC,BETTER CLASS FOODS INC,PEOPLES CHOICE MEAT WAREHOUSE,41,BELMONT AVE,,BROOKLYN,11212,30000,POINT (-73.908857179 40.668755113),41 BELMONT AVE,peoples choice meat warehouse,No,No
KINGS,670103,AC,ROCKS DELI GROCERY CORP,ROCKS DELI GROCERY,1597,ROCKAWAY PKWY,,BROOKLYN,11236,1000,POINT (-73.898556658 40.642003599),1597 ROCKAWAY PKWY,rocks deli grocery,No,Yes
BRONX,748243,A,PEOPLES DRUG RX INC,PEOPLES DRUG RX,3176,BAINBRIDGE AVE,,BRONX,10467,,POINT (-73.879369643 40.875530462),3176 BAINBRIDGE AVE,peoples drug rx,No,No
KINGS,729784,AC,ROCKY DELI & GRILL INC,ROCKY DELI & GRILL,721,FULTON ST,,BROOKLYN,11217,1500,POINT (-73.976420096 40.687251166),721 FULTON ST,rocky deli grill,No,Yes
KINGS,670929,AC,ROCKY DELI GROCERY INC,ROCKY DELI GROCERY,590,BROADWAY,,BROOKLYN,11206,1200,POINT (-73.947324582 40.703670644),590 BROADWAY,rocky deli grocery,No,Yes
KINGS,741976,ABC,PEP BAKE HOUSE & COFFEE SHOP LLC,PEP BAKE HOUSE & COFFEE SHOP,603,4TH AVE,,BROOKLYN,11215,2000,POINT (-73.993348439 40.664678072),603 4TH AVE,pep bake house coffee shop,No,No
QUEENS,639531,AC,RODRIGUEZ DELI GROCERY NY CORP,RODRIGUEZ DELI GROCERY,172,WOODWARD AVE,,RIDGEWOOD,11385,1500,POINT (-73.917789857 40.711901002),172 WOODWARD AVE,rodriguez deli grocery,No,Yes
KINGS,758576,A,PEPPER PALACE INC,PEPPER PALACE,3011,STILLWELL AVE,,BROOKLYN,11224,2500,POINT (-73.98088304 40.575064379),3011 STILLWELL AVE,pepper palace,No,Yes
KINGS,758652,AC,RODRIGUEZ FAMILY GROCERY CORP,RODRIGUEZ FAMILY GROCERY,1801,PITKIN AVE,,BROOKLYN,11212,2000,POINT (-73.90648795 40.670448761),1801 PITKIN AVE,rodriguez family grocery,No,Yes
BRONX,600350,AC,RODRIGUEZ RAMON A,RODRIGUEZ GROCERY,753,FOX ST,,BRONX,10455,1500,POINT (-73.898326156 40.815727427),753 FOX ST,rodriguez grocery,No,Yes
QUEENS,734178,AC,RODRIGUEZ GROCERY STORE #2 CORP,RODRIGUEZ GROCERY STORE #2,101-15,NORTHERN BLVD,,CORONA,11368,1500,POINT (-73.866864012 40.757653159),101-15 NORTHERN BLVD,rodriguez grocery store,No,Yes
KINGS,616554,AC,PERELANDRA NATURAL FOOD CTR INC,PERELANDRA,175,REMSEN ST,,BROOKLYN,11201,4500,POINT (-73.991471312 40.693388898),175 REMSEN ST,perelandra,No,Yes
QUEENS,635711,AC,PEREZ & ALMONTE MEAT MARKET INC,PEREZ BROTHERS MEAT MKT,106-48,SUTPHIN BLVD,,JAMAICA,11435,2000,POINT (-73.801672502 40.694091134),106-48 SUTPHIN BLVD,perez brothers meat mkt,No,No
KINGS,614219,AC,PEREZ ENRIQUE C,PEREZ GROCERY,6304,4TH AVE,,BROOKLYN,11220,1000,POINT (-74.020608735 40.639042566),6304 4TH AVE,perez grocery,Yes,Yes
KINGS,729642,AC,JOON KYUK KO,ROHS FISH MARKET,776,FLATBUSH AVE,,BROOKLYN,11226,,POINT (-73.959686632 40.653889305),776 FLATBUSH AVE,rohs fish market,No,No
QUEENS,747102,AC,ROJAS DELI GROCERY CORP,ROJAS DELI GROCERY,146-10,HILLSIDE AVENUE,,JAMAICA,11435,2000,POINT (-73.810116012 40.705472585),146-10 HILLSIDE AVENUE,rojas deli grocery,No,Yes
QUEENS,636823,ABCH,ROKHAT BAKERY INC,ROKHAT BAKERY,65-43,AUSTIN ST,,REGO PARK,11374,2000,POINT (-73.859441166 40.72582833),65-43 AUSTIN ST,rokhat bakery,No,No
KINGS,746496,AC,ROLL & X GOURMET DELI CORP,ROLL & X GOURMET DELI,698,FULTON ST,,BROOKLYN,11217,,POINT (-73.973966462 40.685996521),698 FULTON ST,roll x gourmet deli,No,Yes
KINGS,610550,AC,JRC CORNER DELI GROCERY INC,PEREZ GROCERY,620,MAPLE ST,,BROOKLYN,11203,1200,POINT (-73.940180686 40.661388426),620 MAPLE ST,perez grocery,Yes,Yes
KINGS,757577,AC,PESCADO KOSHER INC,PESCADO,249,WALLABOUT ST,AKA: CORNER -70 WALTON ST.,BROOKLYN,11206,,POINT (-73.949657392 40.701092473),249 WALLABOUT ST,pescado,No,Yes
RICHMOND,759577,A,ROMAN CONVENIENCE INC,ROMAN CONVENIENCE,451,NORTHFIELD AVE #5,,STATEN ISLAND,10303,,POINT (-74.168536334 40.628354131),451 NORTHFIELD AVE #5,roman convenience,No,No
KINGS,611853,AC,ROSITO PETER,PETE ROSITO FRUIT,1787,BAY RIDGE AVE,,BROOKLYN,11204,1000,POINT (-73.99278967 40.617071911),1787 BAY RIDGE AVE,pete rosito fruit,No,Yes
BRONX,609488,AC,ROMANA GROCERY CORP,ROMANA GROCERY,3851,BRONXWOOD AVE,,BRONX,10469,1200,POINT (-73.856398786 40.883335313),3851 BRONXWOOD AVE,romana grocery,No,Yes
NEW YORK,759469,A,PETROSSIAN BOUTIQUE INC,PETROSSIAN BOUTIQUE,419,WEST 13TH STREET,,NEW YORK,10014,,POINT (-74.006874484 40.740804025),419 WEST 13TH STREET,petrossian boutique,No,Yes
QUEENS,637509,AC,EV ENTERPRISES LTD,PHIL AM FOODMART DIV,40-03,70TH ST,,WOODSIDE,11377,3000,POINT (-73.895301462 40.746319653),40-03 70TH ST,phil am foodmart div,No,Yes
