County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
KINGS,737816,Store,AC,CRAVINGS GROUP CORP,CRAVINGS,1499,E 15TH ST,,,BROOKLYN,NY,11230,1200,POINT (-73.958991437 40.613114615)
NEW YORK,737802,Store,AC,MUSHEER 2 CANDY CORP,MUSHEER 2 CANDY,1544,MADISON AVE,,,NEW YORK,NY,10029,,POINT (-73.95034542 40.79271466)
BRONX,737794,Store,AC,175 N GOURMET DELI INC,175 N GOURMET DELI,786A,COURTLANDT AVE,,,BRONX,NY,10451,,POINT (-73.916639692 40.822424107)
QUEENS,737790,Store,AC,DHRUV 801 CORPORATION,HAMBERRYS FOOD MARKET,801,CROSS BAY BLVD,,,FAR ROCKAWAY,NY,11693,,POINT (-73.819650595 40.607074239)
BRONX,737789,Store,AC,JASMINE FLUELLEN LLC,CONCORD AVE DELI GROCERY,480,CONCORD AVE,,,BRONX,NY,10455,,POINT (-73.908654756 40.81130371)
QUEENS,737785,Store,AC,HALLETTS POINT FOOD CORP,BROOKLYN HARVEST MARKET,26-14,2ND STREET,,,ASTORIA,NY,11102,,POINT (-73.934694836 40.776447077)
BRONX,737762,Store,AC,DAR ALHAJR MARKETS LTD,DAR ALHAJR MARKETS,666,MORRIS PARK AVE,,,BRONX,NY,10462,1600,POINT (-73.867017484 40.844892636)
QUEENS,737759,Store,AC,BEACH 116 DELI & GROCERY CORP,BEACH 116 DELI & GROCERY,201,BEACH 116TH STREET,,,ROCKAWAY PARK,NY,11694,,POINT (-73.837436155 40.579850027)
QUEENS,737757,Store,AC,NBA GLATT MARKET INC,NBA GLATT MARKET,185-02,UNION TPKE #1,,,FRESH MEADOWS,NY,11366,1600,POINT (-73.783394673 40.728330957)
QUEENS,737734,Store,AC,ROA MEAT SHOP CORP,ROA MEAT SHOP,91-05,31ST AVE,,,EAST ELMHURST,NY,11369,2000,POINT (-73.877404925 40.760272714)
NEW YORK,737727,Store,AC,MARKYS LLC,MARKYS CAVIAR,1067,MADISON AVE,,,NEW YORK,NY,10028,700,POINT (-73.961156734 40.777394092)
QUEENS,737719,Store,AC,PANI DOLCI INC,PANI DOLCI,134-16,ATLANTIC AVE,,,SOUTH RICHMOND HILL,NY,11419,,POINT (-73.814529336 40.696941149)
NEW YORK,737709,Store,A,SAMS FINEST DELI GROCERY CORP,SAMS FINEST DELI GROCERY,310,AUDUBON AVE,,,NEW YORK,NY,10033,300,POINT (-73.932787512 40.848381855)
NEW YORK,737692,Store,AC,DANNY MACAROONS INC,DANNY MACAROONS,156,E 117TH ST,,,NEW YORK,NY,10035,330,POINT (-73.940974872 40.799137797)
RICHMOND,737689,Store,AC,S.I. BAGEL HUT CORP,BAGEL HUT,2090,HYLAND BLVD STORE F,,,STATEN ISLAND,NY,10306,1200,POINT (-74.100618024 40.579127046)
KINGS,737674,Store,AC,YI JIE SHA GROCERY INC,YI JIE SHA GROCERY,5423,9TH AVENUE,,,BROOKLYN,NY,11220,500,POINT (-74.004210883 40.637005009)
NEW YORK,737655,Store,AC,596 DELI CORP,CAFFE VENICE,596,THIRD AVENUE,,,NEW YORK,NY,10016,,POINT (-73.976067721 40.74885082)
KINGS,737651,Store,AC,YAMANYS INC,55 GRILL ZONE,5418,NEW UTRECHT AVE,,,BROOKLYN,NY,11219,1000,POINT (-73.995503762 40.631985129)
NEW YORK,737650,Store,AC,BEN MEAT MARKET INC,BEN MEAT MARKET,288,GRAND STREET,,,NEW YORK,NY,10002,1800,POINT (-73.992300198 40.717807059)
QUEENS,737649,Store,AC,S&D CORONA DELI INC,S&D CORONA DELI,96-14,CORONA AVE,,,CORONA,NY,11368,2000,POINT (-73.866935342 40.74218771)
KINGS,737648,Store,AC,VICTORIA MINI MARKET CORP,VICTORIA MINI MARKET,845,MCDONALD AVE,,,BROOKLYN,NY,11218,1600,POINT (-73.97745744 40.63341768)
KINGS,737646,Store,AC,777 FOOD CORP,777 FOOD,531,BLAKE AVE,,,BROOKLYN,NY,11207,5000,POINT (-73.899340869 40.667286646)
NEW YORK,737637,Store,A,TARGET CORPORATION,TARGET STORE T-3321,512,2ND AVE,,,NEW YORK,NY,10016,,POINT (-73.978508283 40.741037446)
NEW YORK,737616,Store,AC,GENTILES FINE FOODS SINCE 1927 INC,GENTILES FINE FOODS,1118,MADISON AVENUE,,,NEW YORK,NY,10028,1800,POINT (-73.960251321 40.77915337)
KINGS,737612,Store,A,GUJRAT SERVICE STATION INC,BP GAS STATION,8775,BAY PKWY,,,BROOKLYN,NY,11214,1000,POINT (-73.997312912 40.598058999)
NEW YORK,737606,Store,AC,A&J MEAT MARKET INC,SHOP FAIR SUPERMARKET,2108,ADAM CLAYTON POWELL JR BLVD,,,NEW YORK,NY,10027,8000,POINT (-73.948232963 40.809367068)
RICHMOND,737605,Store,AC,LA MEXICANISIMA CORP,LA MEXICANISIMA,1118,CASTLETON AVE,,,STATEN ISLAND,NY,10310,1000,POINT (-74.119805123 40.634238436)
RICHMOND,737595,Store,ABC,MORAN M INC,LA IGUANA AZUL MEXICAN MARKET,14,GIFFORDS LANE,,,STATEN ISLAND,NY,10308,3500,POINT (-74.150396387 40.551136979)
NEW YORK,737593,Store,AC,QMART GROCERY INC,QMART GROCERY,4311,BROADWAY,,,NEW YORK,NY,10033,2000,POINT (-73.93503118 40.851999903)
QUEENS,737578,Store,AC,GURU KRUPA 104 CORPORATION,ATLANTIC DELI & GROCERY,104-10,ATLANTIC AVE,,,OZONE PARK,NY,11416,,POINT (-73.840583141 40.690180851)
BRONX,737575,Store,AC,1217 GUZMAN DELI FOOD CORP,1217 GUZMAN DELI FOOD,1217,SHERMAN AVENUE,,,BRONX,NY,10456,1100,POINT (-73.915826312 40.834146031)
